Curve Type,160,192,224,255,256,320,384,448,512,521
ShortWeierstrassCurves,,30175.279,45641.506,51856.142,51445.456,,124260.584,175443.109,,240889.159
MontgomeryCurves,,,,54224.075,,,,179687.14,,
BrainpoolCurvesT1,22606.74,29784.843,39225.775,,53668.955,93926.316,224788.368,,243496.129,
BrainpoolCurvesR1,20579.206,30177.585,41035.694,,53520.249,82000.829,125828.31,,239559.39,
EdwardsCurves,,,,94326.919,,,,316428.396,,
