Curve Type,160,192,224,255,256,320,384,448,512,521
ShortWeierstrassCurves,,464232.0,575072.0,806150.0,721739.0,,1784114.0,2595635.0,,3423392.0
MontgomeryCurves,,,,744566.0,,,,2703301.0,,
BrainpoolCurvesT1,324584.0,428405.0,584898.0,,745176.0,1199094.0,1835994.0,,3488211.0,
BrainpoolCurvesR1,327941.0,429442.0,623228.0,,744871.0,1244625.0,1872126.0,,3458610.0,
EdwardsCurves,,,,1307370.0,,,,4430104.0,,
