Curve Type,160,192,224,255,256,320,384,448,512,521
ShortWeierstrassCurves,,15270.273,20925.275,26041.035,26232.97,,60847.338,85305.958,,121038.866
MontgomeryCurves,,,,26316.148,,,,87086.335,,
BrainpoolCurvesT1,9784.937,14671.774,20175.501,,26759.783,40495.695,62863.648,,120743.294,
BrainpoolCurvesR1,10161.992,15021.118,20418.345,,25947.718,42628.376,62543.781,,119095.774,
EdwardsCurves,,,,45878.518,,,,158303.864,,
